id,doc_quality,completeness,face_score,doc_score,liveness_score,risk,created_at
347,Good,0.91,0.52,0.55,0.96,Medium,2026-03-26T15:45:31.347434
348,Good,0.76,0.49,0.46,0.73,High,2026-03-26T15:45:31.347436
349,Good,0.43,0.58,0.39,0.82,High,2026-03-26T15:45:31.347439
350,Good,0.76,0.72,0.85,0.51,Medium,2026-03-26T15:45:31.347441
351,Poor,0.53,0.33,0.19,0.93,High,2026-03-26T15:45:31.347444
352,Good,0.56,0.73,0.41,0.73,Medium,2026-03-26T15:45:31.347447
353,Poor,0.81,0.22,0.13,0.51,High,2026-03-26T15:45:31.347449
354,Good,0.88,0.59,0.7,0.77,Medium,2026-03-26T15:45:31.347452
355,Good,0.96,0.64,0.45,0.9,Medium,2026-03-26T15:45:31.347454
356,Good,0.53,0.73,0.47,0.75,Medium,2026-03-26T15:45:31.347457
357,Poor,0.4,0.28,0.2,0.48,High,2026-03-26T15:45:31.347460
358,Poor,0.67,0.31,0.28,0.66,High,2026-03-26T15:45:31.347462
359,Good,0.84,0.69,0.72,0.58,Medium,2026-03-26T15:45:31.347465
360,Good,0.58,0.45,0.35,0.78,High,2026-03-26T15:45:31.347467
361,Poor,0.48,0.25,0.17,0.41,High,2026-03-26T15:45:31.347470
362,Good,0.75,0.43,0.32,0.57,High,2026-03-26T15:45:31.347472
363,Good,0.69,0.62,0.39,0.69,High,2026-03-26T15:45:31.347475
364,Good,0.49,0.71,0.78,0.81,Medium,2026-03-26T15:45:31.347479
365,Good,0.78,0.65,0.87,0.48,Medium,2026-03-26T15:45:31.347481
366,Good,0.79,0.57,0.37,0.68,High,2026-03-26T15:45:31.347484
367,Good,0.41,0.44,0.63,0.74,Medium,2026-03-26T15:45:31.347486
368,Good,0.76,0.57,0.67,0.65,Medium,2026-03-26T15:45:31.347489
369,Poor,0.48,0.35,0.35,0.6,High,2026-03-26T15:45:31.347492
370,Poor,0.43,0.34,0.25,0.65,High,2026-03-26T15:45:31.347494
371,Good,0.91,0.44,0.46,0.74,High,2026-03-26T15:45:31.347497
372,Good,0.63,0.59,0.36,0.72,High,2026-03-26T15:45:31.347499
373,Good,0.99,0.54,0.68,0.82,Medium,2026-03-26T15:45:31.347502
374,Poor,0.95,0.35,0.19,0.98,High,2026-03-26T15:45:31.347504
375,Good,0.78,0.44,0.69,0.53,High,2026-03-26T15:45:31.347507
376,Good,0.47,0.73,0.48,0.6,Medium,2026-03-26T15:45:31.347510
377,Poor,0.49,0.2,0.25,0.73,High,2026-03-26T15:45:31.347512
378,Poor,0.43,0.3,0.13,0.41,High,2026-03-26T15:45:31.347515
379,Good,0.99,0.52,0.76,0.55,Medium,2026-03-26T15:45:31.347518
380,Good,0.58,0.53,0.7,0.53,High,2026-03-26T15:45:31.347520
381,Good,0.67,0.51,0.43,0.84,High,2026-03-26T15:45:31.347523
382,Good,0.44,0.67,0.54,0.83,Medium,2026-03-26T15:45:31.347525
383,Poor,0.51,0.17,0.26,0.82,High,2026-03-26T15:45:31.347528
384,Poor,0.71,0.3,0.16,0.44,High,2026-03-26T15:45:31.347530
385,Good,0.87,0.75,0.45,0.43,High,2026-03-26T15:45:31.347533
386,Poor,0.85,0.29,0.3,0.54,High,2026-03-26T15:45:31.347537
387,Good,0.94,0.62,0.86,0.44,Medium,2026-03-26T15:45:31.347540
388,Poor,0.66,0.29,0.12,0.86,High,2026-03-26T15:45:31.347542
389,Good,0.54,0.46,0.54,0.74,High,2026-03-26T15:45:31.347545
390,Good,0.74,0.46,0.38,0.65,High,2026-03-26T15:45:31.347547
391,Good,0.82,0.77,0.33,0.55,High,2026-03-26T15:45:31.347550
392,Good,0.64,0.46,0.5,0.46,High,2026-03-26T15:45:31.347552
393,Good,0.5,0.86,0.28,0.86,Medium,2026-03-26T15:45:31.347555
394,Good,1.0,0.66,0.5,0.82,Medium,2026-03-26T15:45:31.347557
395,Good,0.69,0.38,0.36,0.84,High,2026-03-26T15:45:31.347560
396,Good,0.9,0.57,0.76,0.76,Medium,2026-03-26T15:45:31.347563
397,Good,0.99,0.76,0.27,0.67,High,2026-03-26T15:45:31.347565
398,Good,0.55,0.43,0.67,0.48,High,2026-03-26T15:45:31.347568
399,Good,0.68,0.73,0.66,0.53,Medium,2026-03-26T15:45:31.347570
400,Good,0.62,0.55,0.35,0.57,High,2026-03-26T15:45:31.347573
401,Poor,0.87,0.2,0.35,0.92,High,2026-03-26T15:45:31.347575
402,Good,0.48,0.75,0.46,0.8,Medium,2026-03-26T15:45:31.347578
403,Good,0.58,0.83,0.88,0.41,Medium,2026-03-26T15:45:31.347581
404,Good,0.71,0.76,0.65,0.71,Medium,2026-03-26T15:45:31.347584
405,Good,0.54,0.48,0.61,0.75,Medium,2026-03-26T15:45:31.347586
406,Good,0.82,0.81,0.72,0.61,Medium,2026-03-26T15:45:31.347589
407,Poor,0.97,0.18,0.24,0.45,High,2026-03-26T15:45:31.347591
408,Good,0.56,0.6,0.54,0.67,Medium,2026-03-26T15:45:31.347594
409,Poor,0.56,0.3,0.16,0.49,High,2026-03-26T15:45:31.347596
410,Good,0.47,0.42,0.56,0.46,High,2026-03-26T15:45:31.347599
411,Poor,0.42,0.33,0.23,0.89,High,2026-03-26T15:45:31.347602
412,Good,0.64,0.82,0.38,0.96,Medium,2026-03-26T15:45:31.347604
413,Good,0.73,0.37,0.54,0.9,Medium,2026-03-26T15:45:31.347607
414,Good,0.94,0.76,0.44,0.94,Medium,2026-03-26T15:45:31.347609
415,Good,0.66,0.47,0.34,0.51,High,2026-03-26T15:45:31.347612
416,Good,0.5,0.7,0.48,0.7,Medium,2026-03-26T15:45:31.347614
417,Good,0.83,0.71,0.45,0.81,Medium,2026-03-26T15:45:31.347617
418,Good,0.46,0.57,0.52,0.87,Medium,2026-03-26T15:45:31.347619
419,Poor,0.94,0.26,0.14,0.51,High,2026-03-26T15:45:31.347622
420,Good,0.44,0.58,0.35,0.64,High,2026-03-26T15:45:31.347624
421,Poor,0.58,0.39,0.18,0.91,High,2026-03-26T15:45:31.347628
422,Good,0.51,0.83,0.36,0.45,High,2026-03-26T15:45:31.347631
423,Good,0.91,0.52,0.38,0.51,High,2026-03-26T15:45:31.347633
424,Good,0.58,0.67,0.69,0.83,Medium,2026-03-26T15:45:31.347636
425,Good,0.51,0.54,0.74,0.76,Medium,2026-03-26T15:45:31.347639
426,Good,0.77,0.85,0.74,0.65,Medium,2026-03-26T15:45:31.347641
427,Good,0.74,0.51,0.83,0.52,Medium,2026-03-26T15:45:31.347644
428,Poor,0.58,0.21,0.34,0.93,High,2026-03-26T15:45:31.347646
429,Poor,0.72,0.31,0.19,0.66,High,2026-03-26T15:45:31.347649
430,Poor,0.65,0.31,0.17,0.85,High,2026-03-26T15:45:31.347651
431,Good,0.83,0.8,0.33,0.76,Medium,2026-03-26T15:45:31.347654
432,Good,0.96,0.56,0.44,0.45,High,2026-03-26T15:45:31.347656
433,Poor,0.65,0.31,0.33,0.56,High,2026-03-26T15:45:31.347659
434,Good,0.52,0.51,0.31,0.95,High,2026-03-26T15:45:31.347661
435,Good,0.87,0.88,0.27,0.72,Medium,2026-03-26T15:45:31.347664
436,Good,0.61,0.79,0.76,0.67,Medium,2026-03-26T15:45:31.347667
437,Good,0.63,0.89,0.51,0.57,Medium,2026-03-26T15:45:31.347669
438,Good,0.44,0.46,0.5,0.74,High,2026-03-26T15:45:31.347672
439,Good,0.59,0.38,0.87,0.68,Medium,2026-03-26T15:45:31.347675
440,Good,0.92,0.66,0.82,0.7,Medium,2026-03-26T15:45:31.347677
441,Good,0.43,0.53,0.53,0.9,Medium,2026-03-26T15:45:31.347680
442,Poor,0.48,0.39,0.25,0.69,High,2026-03-26T15:45:31.347682
443,Good,0.81,0.45,0.72,0.48,High,2026-03-26T15:45:31.347685
444,Poor,0.87,0.29,0.26,0.79,High,2026-03-26T15:45:31.347687
445,Poor,0.47,0.22,0.15,0.97,High,2026-03-26T15:45:31.347690
446,Good,0.72,0.54,0.35,0.82,High,2026-03-26T15:45:31.347693
447,Good,0.45,0.88,0.32,0.43,High,2026-03-26T15:45:31.347695
448,Good,0.52,0.49,0.77,0.67,Medium,2026-03-26T15:45:31.347698
449,Good,0.82,0.56,0.43,0.53,High,2026-03-26T15:45:31.347700
450,Poor,0.54,0.29,0.16,0.46,High,2026-03-26T15:45:31.347703
451,Good,0.58,0.38,0.7,0.82,Medium,2026-03-26T15:45:31.347705
452,Poor,0.88,0.38,0.37,0.82,High,2026-03-26T15:45:31.347708
453,Good,0.47,0.58,0.85,0.96,Medium,2026-03-26T15:45:31.347710
454,Good,0.78,0.7,0.78,0.55,Medium,2026-03-26T15:45:31.347714
455,Good,0.6,0.48,0.83,0.45,High,2026-03-26T15:45:31.347717
456,Good,0.56,0.51,0.61,0.71,Medium,2026-03-26T15:45:31.347720
457,Good,0.47,0.45,0.72,0.94,Medium,2026-03-26T15:45:31.347722
458,Poor,0.81,0.23,0.19,0.46,High,2026-03-26T15:45:31.347725
459,Good,0.73,0.41,0.67,0.58,High,2026-03-26T15:45:31.347728
460,Good,0.6,0.45,0.73,0.55,High,2026-03-26T15:45:31.347730
461,Poor,0.66,0.39,0.22,0.97,High,2026-03-26T15:45:31.347733
462,Good,0.99,0.52,0.51,0.76,High,2026-03-26T15:45:31.347735
463,Good,0.81,0.55,0.66,0.73,Medium,2026-03-26T15:45:31.347738
464,Poor,0.42,0.27,0.39,0.84,High,2026-03-26T15:45:31.347740
465,Good,0.77,0.56,0.67,0.77,Medium,2026-03-26T15:45:31.347743
466,Poor,0.41,0.25,0.17,0.43,High,2026-03-26T15:45:31.347746
467,Good,0.92,0.79,0.63,0.91,Medium,2026-03-26T15:45:31.347748
468,Good,0.86,0.52,0.29,0.49,High,2026-03-26T15:45:31.347751
469,Poor,0.6,0.27,0.31,0.72,High,2026-03-26T15:45:31.347753
470,Poor,0.97,0.23,0.31,0.51,High,2026-03-26T15:45:31.347756
471,Good,0.43,0.71,0.48,0.53,High,2026-03-26T15:45:31.347758
472,Poor,0.68,0.34,0.33,0.87,High,2026-03-26T15:45:31.347761
473,Good,0.69,0.44,0.82,0.98,Medium,2026-03-26T15:45:31.347763
474,Good,0.84,0.38,0.67,0.92,Medium,2026-03-26T15:45:31.347766
475,Poor,0.55,0.3,0.33,0.65,High,2026-03-26T15:45:31.347769
476,Good,0.68,0.63,0.51,0.8,Medium,2026-03-26T15:45:31.347771
477,Good,0.65,0.52,0.71,0.81,Medium,2026-03-26T15:45:31.347774
478,Good,0.81,0.77,0.5,0.68,Medium,2026-03-26T15:45:31.347776
479,Good,0.51,0.57,0.87,0.68,Medium,2026-03-26T15:45:31.347779
480,Good,0.91,0.81,0.35,0.66,Medium,2026-03-26T15:45:31.347781
481,Good,0.41,0.67,0.76,0.99,Medium,2026-03-26T15:45:31.347784
482,Poor,0.98,0.18,0.3,0.54,High,2026-03-26T15:45:31.347787
483,Good,0.45,0.86,0.34,0.81,Medium,2026-03-26T15:45:31.347789
484,Good,0.83,0.65,0.62,0.44,High,2026-03-26T15:45:31.347792
485,Good,0.91,0.75,0.66,0.81,Medium,2026-03-26T15:45:31.347794
486,Good,0.97,0.79,0.84,0.91,Low,2026-03-26T15:45:31.347797
487,Good,0.56,0.39,0.61,0.64,High,2026-03-26T15:45:31.347800
488,Good,0.86,0.74,0.29,0.43,High,2026-03-26T15:45:31.347803
489,Poor,0.96,0.29,0.36,0.82,High,2026-03-26T15:45:31.347806
490,Poor,0.41,0.39,0.18,0.95,High,2026-03-26T15:45:31.347809
491,Good,0.66,0.52,0.33,0.5,High,2026-03-26T15:45:31.347811
492,Good,0.53,0.66,0.48,0.98,Medium,2026-03-26T15:45:31.347814
493,Poor,0.92,0.26,0.38,0.57,High,2026-03-26T15:45:31.347816
494,Poor,0.59,0.28,0.39,0.47,High,2026-03-26T15:45:31.347819
495,Good,0.5,0.73,0.86,0.92,Medium,2026-03-26T15:45:31.347822
496,Poor,0.57,0.23,0.2,0.48,High,2026-03-26T15:45:31.347824
497,Good,0.56,0.63,0.82,0.48,Medium,2026-03-26T15:45:31.347827
498,Good,0.57,0.41,0.51,0.75,High,2026-03-26T15:45:31.347829
499,Poor,0.77,0.26,0.36,0.99,High,2026-03-26T15:45:31.347833
500,Good,0.8,0.43,0.88,0.5,Medium,2026-03-26T15:45:31.347836
501,Poor,0.69,0.32,0.15,0.41,High,2026-03-26T15:45:31.347839
502,Good,0.71,0.69,0.37,0.98,Medium,2026-03-26T15:45:31.347841
503,Good,1.0,0.84,0.43,0.5,High,2026-03-26T15:45:31.347844
504,Poor,0.46,0.17,0.19,0.69,High,2026-03-26T15:45:31.347847
505,Good,0.7,0.58,0.62,0.85,Medium,2026-03-26T15:45:31.347849
506,Good,0.8,0.72,0.64,0.73,Medium,2026-03-26T15:45:31.347852
507,Poor,0.65,0.3,0.16,0.97,High,2026-03-26T15:45:31.347854
508,Poor,0.42,0.24,0.25,0.58,High,2026-03-26T15:45:31.347857
509,Good,0.92,0.49,0.78,0.99,Medium,2026-03-26T15:45:31.347859
510,Poor,0.43,0.37,0.36,0.47,High,2026-03-26T15:45:31.347862
511,Good,0.97,0.38,0.73,0.49,High,2026-03-26T15:45:31.347864
512,Good,0.69,0.42,0.29,0.43,High,2026-03-26T15:45:31.347867
513,Good,0.51,0.68,0.38,0.7,High,2026-03-26T15:45:31.347870
514,Poor,0.84,0.29,0.13,0.98,High,2026-03-26T15:45:31.347872
515,Good,0.59,0.41,0.38,0.81,High,2026-03-26T15:45:31.347875
516,Poor,0.76,0.34,0.38,0.87,High,2026-03-26T15:45:31.347877
517,Good,0.42,0.75,0.77,0.73,Medium,2026-03-26T15:45:31.347880
518,Good,0.67,0.84,0.88,0.57,Medium,2026-03-26T15:45:31.347882
519,Poor,0.89,0.22,0.17,0.51,High,2026-03-26T15:45:31.347885
520,Poor,0.96,0.22,0.3,0.66,High,2026-03-26T15:45:31.347888
521,Good,0.62,0.59,0.82,0.83,Medium,2026-03-26T15:45:31.347890
522,Poor,0.72,0.34,0.3,0.63,High,2026-03-26T15:45:31.347893
523,Good,0.8,0.54,0.82,0.69,Medium,2026-03-26T15:45:31.347896
524,Good,0.74,0.41,0.43,0.75,High,2026-03-26T15:45:31.347898
525,Good,0.85,0.67,0.67,0.88,Medium,2026-03-26T15:45:31.347901
526,Good,0.52,0.74,0.3,0.55,High,2026-03-26T15:45:31.347904
527,Good,0.77,0.58,0.77,0.84,Medium,2026-03-26T15:45:31.347906
528,Good,0.99,0.72,0.7,0.42,Medium,2026-03-26T15:45:31.347909
529,Poor,0.58,0.24,0.36,0.86,High,2026-03-26T15:45:31.347911
530,Good,0.6,0.84,0.43,0.98,Medium,2026-03-26T15:45:31.347914
531,Poor,0.43,0.35,0.19,0.42,High,2026-03-26T15:45:31.347917
532,Good,0.87,0.4,0.42,0.88,High,2026-03-26T15:45:31.347919
533,Poor,0.83,0.27,0.28,0.9,High,2026-03-26T15:45:31.347922
534,Good,0.53,0.4,0.38,0.45,High,2026-03-26T15:45:31.347924
535,Good,0.81,0.47,0.73,0.61,Medium,2026-03-26T15:45:31.347927
536,Good,0.65,0.52,0.57,0.73,Medium,2026-03-26T15:45:31.347929
537,Good,0.8,0.86,0.71,0.68,Medium,2026-03-26T15:45:31.347932
538,Good,0.92,0.58,0.65,0.59,Medium,2026-03-26T15:45:31.347935
539,Good,0.92,0.58,0.6,0.66,Medium,2026-03-26T15:45:31.347937
540,Good,0.92,0.46,0.41,0.97,Medium,2026-03-26T15:45:31.347940
541,Good,0.57,0.73,0.49,0.48,High,2026-03-26T15:45:31.347942
542,Poor,0.62,0.19,0.12,0.89,High,2026-03-26T15:45:31.347945
543,Good,0.77,0.43,0.73,0.46,High,2026-03-26T15:45:31.347947
544,Poor,0.92,0.21,0.39,0.59,High,2026-03-26T15:45:31.347950
545,Good,0.56,0.76,0.68,0.49,Medium,2026-03-26T15:45:31.347953
546,Good,0.56,0.71,0.83,0.46,Medium,2026-03-26T15:45:31.347955
547,Poor,0.86,0.21,0.22,0.93,High,2026-03-26T15:45:31.347958
548,Poor,0.89,0.34,0.37,0.64,High,2026-03-26T15:45:31.347960
549,Good,0.77,0.6,0.8,0.83,Medium,2026-03-26T15:45:31.347963
550,Good,0.46,0.84,0.48,0.88,Medium,2026-03-26T15:45:31.347966
551,Good,0.57,0.51,0.57,0.82,Medium,2026-03-26T15:45:31.347968
552,Poor,0.61,0.26,0.14,0.52,High,2026-03-26T15:45:31.347971
553,Good,0.58,0.66,0.58,0.98,Medium,2026-03-26T15:45:31.347973
554,Good,0.61,0.51,0.28,0.7,High,2026-03-26T15:45:31.347976
555,Poor,0.53,0.19,0.37,0.81,High,2026-03-26T15:45:31.347978
556,Good,0.52,0.82,0.6,0.76,Medium,2026-03-26T15:45:31.347981
557,Poor,0.48,0.24,0.35,0.59,High,2026-03-26T15:45:31.347984
558,Poor,0.46,0.23,0.27,0.59,High,2026-03-26T15:45:31.347986
559,Poor,0.52,0.26,0.28,0.41,High,2026-03-26T15:45:31.347989
560,Good,0.88,0.68,0.76,0.58,Medium,2026-03-26T15:45:31.347991
561,Good,0.81,0.59,0.61,0.97,Medium,2026-03-26T15:45:31.347994
562,Good,0.95,0.65,0.71,0.91,Medium,2026-03-26T15:45:31.347997
563,Poor,0.96,0.37,0.25,0.8,High,2026-03-26T15:45:31.347999
564,Good,0.86,0.47,0.72,0.4,High,2026-03-26T15:45:31.348002
565,Good,0.48,0.53,0.59,0.98,Medium,2026-03-26T15:45:31.348004
566,Good,0.65,0.48,0.85,0.56,Medium,2026-03-26T15:45:31.348007
567,Good,0.87,0.64,0.59,0.57,High,2026-03-26T15:45:31.348009
568,Good,0.97,0.54,0.59,0.6,High,2026-03-26T15:45:31.348012
569,Good,0.87,0.56,0.8,0.75,Medium,2026-03-26T15:45:31.348015
570,Good,0.61,0.66,0.32,0.82,High,2026-03-26T15:45:31.348017
571,Good,0.52,0.56,0.78,0.67,Medium,2026-03-26T15:45:31.348020
572,Poor,0.41,0.17,0.15,0.59,High,2026-03-26T15:45:31.348022
573,Good,0.81,0.53,0.6,0.52,High,2026-03-26T15:45:31.348025
574,Good,0.86,0.82,0.67,0.78,Medium,2026-03-26T15:45:31.348027
575,Good,0.83,0.65,0.62,0.88,Medium,2026-03-26T15:45:31.348030
576,Good,0.58,0.42,0.8,0.64,Medium,2026-03-26T15:45:31.348032
577,Poor,0.59,0.38,0.17,0.8,High,2026-03-26T15:45:31.348039
578,Good,0.92,0.76,0.34,0.54,High,2026-03-26T15:45:31.348042
579,Poor,0.88,0.18,0.38,0.76,High,2026-03-26T15:45:31.348044
580,Good,0.75,0.58,0.38,0.86,Medium,2026-03-26T15:45:31.348047
581,Good,0.95,0.74,0.62,0.91,Medium,2026-03-26T15:45:31.348049
582,Good,0.69,0.66,0.61,0.88,Medium,2026-03-26T15:45:31.348052
583,Poor,0.81,0.34,0.29,0.78,High,2026-03-26T15:45:31.348055
584,Good,0.85,0.84,0.58,0.7,Medium,2026-03-26T15:45:31.348057
585,Good,0.77,0.71,0.61,0.41,High,2026-03-26T15:45:31.348060
586,Good,0.51,0.43,0.43,0.81,High,2026-03-26T15:45:31.348062
587,Poor,0.87,0.34,0.31,0.98,High,2026-03-26T15:45:31.348065
588,Good,0.85,0.4,0.61,0.56,High,2026-03-26T15:45:31.348067
589,Poor,0.76,0.28,0.23,0.79,High,2026-03-26T15:45:31.348070
590,Good,0.98,0.83,0.44,0.97,Medium,2026-03-26T15:45:31.348074
591,Good,0.99,0.68,0.29,0.79,High,2026-03-26T15:45:31.348076
592,Good,0.87,0.47,0.73,0.47,High,2026-03-26T15:45:31.348079
593,Good,0.9,0.62,0.74,0.74,Medium,2026-03-26T15:45:31.348081
594,Poor,0.61,0.35,0.34,0.49,High,2026-03-26T15:45:31.348084
595,Poor,0.55,0.18,0.24,0.66,High,2026-03-26T15:45:31.348087
596,Good,0.88,0.78,0.4,0.5,High,2026-03-26T15:45:31.348089
597,Good,0.71,0.73,0.45,0.82,Medium,2026-03-26T15:45:31.348092
598,Poor,0.45,0.3,0.33,0.47,High,2026-03-26T15:45:31.348094
599,Good,0.99,0.61,0.31,0.89,Medium,2026-03-26T15:45:31.348097
600,Good,0.9,0.84,0.31,0.42,High,2026-03-26T15:45:31.348100
601,Good,0.76,0.65,0.82,0.44,Medium,2026-03-26T15:45:31.348102
602,Good,0.77,0.68,0.55,0.82,Medium,2026-03-26T15:45:31.348105
603,Poor,0.8,0.36,0.32,0.52,High,2026-03-26T15:45:31.348107
604,Good,0.91,0.66,0.34,0.63,High,2026-03-26T15:45:31.348110
605,Good,0.58,0.58,0.53,0.96,Medium,2026-03-26T15:45:31.348113
606,Good,0.53,0.76,0.28,0.46,High,2026-03-26T15:45:31.348115
607,Good,0.74,0.55,0.4,0.94,Medium,2026-03-26T15:45:31.348118
608,Good,0.61,0.81,0.37,0.44,High,2026-03-26T15:45:31.348120
609,Good,0.75,0.56,0.59,0.41,High,2026-03-26T15:45:31.348123
610,Good,0.68,0.5,0.29,0.86,High,2026-03-26T15:45:31.348126
611,Good,0.54,0.53,0.62,0.72,Medium,2026-03-26T15:45:31.348128
612,Poor,0.88,0.33,0.24,0.6,High,2026-03-26T15:45:31.348131
613,Poor,0.47,0.37,0.12,0.74,High,2026-03-26T15:45:31.348133
614,Good,0.44,0.7,0.83,0.94,Medium,2026-03-26T15:45:31.348136
615,Good,0.42,0.68,0.85,0.58,Medium,2026-03-26T15:45:31.348138
616,Good,0.88,0.37,0.41,0.54,High,2026-03-26T15:45:31.348141
617,Good,0.62,0.64,0.58,0.85,Medium,2026-03-26T15:45:31.348144
618,Good,0.5,0.81,0.5,0.94,Medium,2026-03-26T15:45:31.348146
619,Good,0.88,0.86,0.72,0.62,Medium,2026-03-26T15:45:31.348153
620,Good,0.8,0.77,0.3,0.88,Medium,2026-03-26T15:45:31.348156
621,Good,0.41,0.61,0.58,0.54,High,2026-03-26T15:45:31.348158
622,Good,0.72,0.65,0.84,0.77,Medium,2026-03-26T15:45:31.348161
623,Poor,0.65,0.23,0.24,0.68,High,2026-03-26T15:45:31.348164
624,Good,0.6,0.67,0.65,0.41,High,2026-03-26T15:45:31.348166
625,Poor,0.5,0.24,0.2,0.67,High,2026-03-26T15:45:31.348169
626,Good,0.89,0.43,0.87,0.75,Medium,2026-03-26T15:45:31.348172
627,Good,0.78,0.73,0.58,0.67,Medium,2026-03-26T15:45:31.348174
628,Good,0.61,0.57,0.3,0.46,High,2026-03-26T15:45:31.348177
629,Good,0.41,0.64,0.75,0.94,Medium,2026-03-26T15:45:31.348179
630,Good,0.64,0.49,0.86,0.82,Medium,2026-03-26T15:45:31.348182
631,Good,0.64,0.67,0.52,0.55,High,2026-03-26T15:45:31.348184
632,Good,0.47,0.49,0.34,0.92,High,2026-03-26T15:45:31.348187
633,Good,0.6,0.83,0.27,0.99,Medium,2026-03-26T15:45:31.348189
634,Good,0.44,0.43,0.5,0.76,High,2026-03-26T15:45:31.348192
635,Good,0.87,0.36,0.47,0.52,High,2026-03-26T15:45:31.348195
636,Poor,0.61,0.31,0.27,0.72,High,2026-03-26T15:45:31.348197
637,Good,0.98,0.84,0.4,0.99,Medium,2026-03-26T15:45:31.348200
638,Good,0.87,0.5,0.73,0.66,Medium,2026-03-26T15:45:31.348202
639,Good,0.93,0.37,0.47,0.77,High,2026-03-26T15:45:31.348205
640,Good,0.78,0.38,0.33,0.55,High,2026-03-26T15:45:31.348207
641,Good,0.89,0.8,0.64,0.87,Medium,2026-03-26T15:45:31.348210
642,Good,0.94,0.81,0.86,0.49,Medium,2026-03-26T15:45:31.348212
643,Good,0.91,0.63,0.66,0.69,Medium,2026-03-26T15:45:31.348215
644,Good,0.92,0.78,0.29,0.5,High,2026-03-26T15:45:31.348217
645,Good,0.62,0.88,0.39,0.99,Medium,2026-03-26T15:45:31.348220
646,Good,0.71,0.51,0.32,0.45,High,2026-03-26T15:45:31.348223
647,Good,0.44,0.84,0.63,0.93,Medium,2026-03-26T15:45:31.348225
648,Poor,0.87,0.18,0.3,0.47,High,2026-03-26T15:45:31.348228
649,Poor,0.82,0.28,0.25,0.87,High,2026-03-26T15:45:31.348230
650,Good,0.83,0.37,0.83,0.8,Medium,2026-03-26T15:45:31.348233
651,Good,0.45,0.58,0.4,0.95,Medium,2026-03-26T15:45:31.348235
652,Good,0.41,0.5,0.56,0.49,High,2026-03-26T15:45:31.348238
653,Poor,0.54,0.23,0.18,0.9,High,2026-03-26T15:45:31.348241
654,Good,0.92,0.55,0.73,0.59,Medium,2026-03-26T15:45:31.348243
655,Good,0.57,0.4,0.27,0.45,High,2026-03-26T15:45:31.348247
656,Poor,0.81,0.36,0.3,0.92,High,2026-03-26T15:45:31.348250
657,Good,0.94,0.75,0.38,0.61,High,2026-03-26T15:45:31.348252
658,Good,0.45,0.67,0.59,0.78,Medium,2026-03-26T15:45:31.348256
659,Good,0.68,0.42,0.29,0.91,High,2026-03-26T15:45:31.348259
660,Good,0.81,0.69,0.57,0.64,Medium,2026-03-26T15:45:31.348261
661,Poor,0.65,0.32,0.16,0.98,High,2026-03-26T15:45:31.348264
662,Good,0.96,0.47,0.32,0.41,High,2026-03-26T15:45:31.348266
663,Poor,0.5,0.36,0.16,0.83,High,2026-03-26T15:45:31.348269
664,Poor,0.91,0.38,0.13,0.54,High,2026-03-26T15:45:31.348272
665,Poor,0.94,0.17,0.38,0.42,High,2026-03-26T15:45:31.348274
666,Good,0.49,0.37,0.7,0.58,High,2026-03-26T15:45:31.348277
667,Poor,0.88,0.37,0.37,0.55,High,2026-03-26T15:45:31.348279
668,Good,0.66,0.85,0.52,0.85,Medium,2026-03-26T15:45:31.348282
669,Good,0.64,0.51,0.8,0.71,Medium,2026-03-26T15:45:31.348284
670,Good,0.9,0.73,0.31,0.64,High,2026-03-26T15:45:31.348287
671,Good,0.7,0.73,0.32,0.83,Medium,2026-03-26T15:45:31.348290
672,Poor,0.92,0.32,0.28,0.8,High,2026-03-26T15:45:31.348292
673,Poor,0.8,0.16,0.14,0.93,High,2026-03-26T15:45:31.348295
674,Poor,0.66,0.19,0.27,0.43,High,2026-03-26T15:45:31.348297
675,Good,0.58,0.62,0.67,0.59,Medium,2026-03-26T15:45:31.348300
676,Poor,0.62,0.17,0.25,0.82,High,2026-03-26T15:45:31.348303
677,Good,0.83,0.46,0.56,0.69,High,2026-03-26T15:45:31.348305
678,Good,0.74,0.63,0.76,0.74,Medium,2026-03-26T15:45:31.348308
679,Good,0.71,0.74,0.54,0.82,Medium,2026-03-26T15:45:31.348310
680,Good,0.49,0.77,0.7,0.94,Medium,2026-03-26T15:45:31.348313
681,Good,0.71,0.88,0.42,0.75,Medium,2026-03-26T15:45:31.348315
682,Good,0.62,0.69,0.78,0.44,Medium,2026-03-26T15:45:31.348318
683,Poor,0.65,0.28,0.33,0.44,High,2026-03-26T15:45:31.348331
684,Poor,0.92,0.31,0.33,0.87,High,2026-03-26T15:45:31.348334
685,Poor,0.57,0.22,0.3,0.41,High,2026-03-26T15:45:31.348338
686,Poor,0.4,0.19,0.33,0.54,High,2026-03-26T15:45:31.348341
687,Good,0.74,0.46,0.41,0.87,High,2026-03-26T15:45:31.348345
688,Poor,0.66,0.18,0.35,0.85,High,2026-03-26T15:45:31.348347
689,Good,0.84,0.45,0.65,0.84,Medium,2026-03-26T15:45:31.348350
690,Good,0.56,0.76,0.49,0.98,Medium,2026-03-26T15:45:31.348353
691,Good,0.5,0.85,0.36,0.97,Medium,2026-03-26T15:45:31.348355
692,Good,0.61,0.45,0.37,0.41,High,2026-03-26T15:45:31.348359
693,Poor,0.49,0.18,0.17,0.83,High,2026-03-26T15:45:31.348362
